,Price
2554,17876
2555,17249
2556,16621
2557,18817
2558,28059
2559,9095
2560,61499
2561,41710
2562,3763
2563,9722
2564,10976
2565,2587
2566,26030
2567,6899
2568,8985
2569,17092
2570,33870
2571,20385
2572,39201
2573,44865
2574,470
2575,706
2576,15681
2577,3450
2578,55195
2579,5959
2580,26657
2581,282
2582,5331
2583,16308
2584,15200
2585,43128
2586,19883
2587,125
2588,1646
2589,7840
2590,7840
2591,30
2592,862
2593,30734
2594,9408
2595,2587
2596,18117
2597,50341
2598,30
2599,58579
2600,57961
2601,56450
2602,125
2603,392
2604,9722
2605,470
2606,21953
2607,27259
2608,16618
2609,392
2610,862
2611,53188
2612,7056
2613,38016
2614,2038
2615,10349
2616,19121
2617,36711
2618,11290
2619,11917
2620,23433
2621,14900
2622,36564
2623,23521
2624,4077
2625,392
2626,392
2627,35570
2628,20385
2629,53872
2630,784
2631,314
2632,25089
2633,9252
2634,20385
2635,1176
2636,14426
2637,27598
2638,59837
2639,9565
2640,14113
2641,9252
2642,8781
2643,862
2644,3800
2645,9408
2646,51746
2647,17876
2648,5959
2649,470
2650,1098
2651,20071
2652,8781
2653,21326
2654,21953
2655,21953
2656,1019
2657,16621
2658,9722
2659,4077
2660,21953
2661,19130
2662,12231
2663,7840
2664,17249
2665,46728
2666,27284
2667,18817
2668,8467
2669,4704
2670,26030
2671,7213
2672,9722
2673,20385
2674,21326
2675,39603
2676,22357
2677,4936
2678,14113
2679,15245
2680,14740
2681,59464
2682,42337
2683,1176
2684,5959
2685,38731
2686,31361
2687,220
2688,6272
2689,18189
2690,27435
2691,627
2692,9408
2693,13172
2694,38311
2695,13184
2696,19416
2697,12388
2698,70
2699,862
2700,34497
2701,8311
2702,7683
2703,24433
2704,16621
2705,10036
2706,50
2707,17249
2708,44247
2709,60
2710,470
2711,18817
2712,30734
2713,18817
2714,20385
2715,9565
2716,13485
2717,188
2718,47076
2719,12858
2720,282
2721,220
2722,3763
2723,7527
2724,18029
2725,251
2726,16935
2727,470
2728,45872
2729,6899
2730,15677
2731,7683
2732,29793
2733,25402
2734,16894
2735,73313
2736,10036
2737,13485
2738,2038
2739,5331
2740,28225
2741,25264
2742,10036
2743,17249
2744,15458
2745,25299
2746,14426
2747,36231
2748,8154
2749,2600
2750,9364
2751,6899
2752,12388
2753,11299
2754,10976
2755,8467
2756,12231
2757,1490
2758,5645
2759,7213
2760,18817
2761,15423
2762,10976
2763,26030
2764,15367
2765,19757
2766,11917
2767,9000
2768,314
2769,6429
2770,15681
2771,15681
2772,1646
2773,11415
2774,25
2775,23521
2776,85553
2777,51191
2778,13799
2779,314
2780,24618
2781,941
2782,11290
2783,5018
2784,220
2785,43592
2786,282
2787,14583
2788,16138
2789,14884
2790,36485
2791,2430
2792,15367
2793,17249
2794,13328
2795,8500
2796,7997
2797,17813
2798,5645
2799,14269
2800,862
2801,11133
2802,11604
2803,392
2804,18092
2805,14740
2806,41710
2807,18189
2808,10663
2809,627
2810,30251
2811,8938
2812,10663
2813,7213
2814,22266
2815,20385
2816,11851
2817,17876
2818,20488
2819,50008
2820,7213
2821,21768
2822,21009
2823,314
2824,36065
2825,549
2826,200
2827,8781
2828,8467
2829,1490
2830,48998
2831,34340
2832,12500
2833,55823
2834,26033
2835,1882
2836,188
2837,10349
2838,12701
2839,14740
2840,35124
2841,3136
2842,19030
2843,6500
2844,17249
2845,251
2846,2901
2847,3058
2848,30734
2849,1098
2850,10349
2851,23521
2852,1882
2853,9879
2854,32945
2855,17305
2856,62722
2857,46728
2858,40769
2859,14426
2860,25591
2861,706
2862,32929
2863,3450
2864,941
2865,627
2866,53420
2867,3450
2868,10663
2869,37066
2870,7683
2871,7997
2872,22580
2873,29006
2874,4704
2875,470
2876,39559
2877,549
2878,26814
2879,39750
2880,32311
2881,23521
2882,627
2883,7840
2884,6586
2885,10500
2886,4861
2887,9252
2888,21639
2889,36401
2890,12544
2891,17844
2892,28225
2893,35124
2894,40000
2895,314
2896,10976
2897,30351
2898,14113
2899,19416
2900,12544
2901,3058
2902,11917
2903,3920
2904,20918
2905,862
2906,251
2907,131716
2908,7464
2909,6899
2910,627
2911,15367
2912,21796
2913,98066
2914,5802
2915,1803
2916,470
2917,627
2918,4704
2919,1725
2920,6586
2921,470
2922,17562
2923,5018
2924,18503
2925,54186
2926,41281
2927,392
2928,3763
2929,10663
2930,20698
2931,4077
2932,5300
2933,18817
2934,17249
2935,15132
2936,35570
2937,1490
2938,13799
2939,21953
2940,1882
2941,49058
2942,5018
2943,25716
2944,157
2945,11290
2946,4234
2947,80
2948,11604
2949,46101
2950,48534
2951,12700
2952,30200
2953,1411
2954,314
2955,8624
2956,27654
2957,34497
2958,17484
2959,22580
2960,10663
2961,19287
2962,29793
2963,16500
2964,12544
2965,37301
2966,20385
2967,49751
2968,23207
2969,5018
2970,29793
2971,11917
2972,20005
2973,69935
2974,37476
2975,16621
2976,20071
2977,18817
2978,13360
2979,11604
2980,4234
2981,9252
2982,20005
2983,30
2984,15053
2985,7840
2986,5488
2987,70562
2988,8467
2989,7213
2990,2666
2991,10036
2992,7527
2993,16621
2994,3136
2995,14269
2996,22715
2997,16935
2998,21953
2999,7495
3000,2666
3001,22843
3002,1568
3003,23521
3004,3136
3005,49751
3006,16308
3007,392
3008,19130
3009,26657
3010,7840
3011,12544
3012,21012
3013,13172
3014,10976
3015,3
3016,5331
3017,13297
3018,26971
3019,24029
3020,78403
3021,78
3022,3293
3023,9252
3024,16960
3025,21326
3026,26030
3027,392
3028,16621
3029,18817
3030,470
3031,4077
3032,15612
3033,18647
3034,32615
3035,21326
3036,12858
3037,39201
3038,627
3039,21012
3040,784
3041,706
3042,2195
3043,706
3044,7997
3045,9408
3046,16741
3047,7527
3048,8467
3049,53000
3050,6272
3051,100355
3052,34419
3053,392
3054,14113
3055,15053
3056,17249
3057,31361
3058,8467
3059,15681
3060,10976
3061,24462
3062,392
3063,12858
3064,4077
3065,18189
3066,12720
3067,16308
3068,157
3069,78403
3070,18503
3071,21442
3072,188
3073,10820
3074,627
3075,47042
3076,9879
3077,103491
3078,16308
3079,10192
3080,32744
3081,10976
3082,31047
3083,25
3084,81539
3085,21012
3086,11133
3087,12544
3088,5018
3089,4391
3090,31424
3091,13172
3092,29323
3093,10976
3094,34240
3095,19757
3096,33236
3097,19914
3098,2274
3099,5331
3100,3920
3101,15000
3102,392
3103,38063
3104,10349
3105,17876
3106,9198
3107,706
3108,11000
3109,220
3110,40
3111,22266
3112,9408
3113,15847
3114,392
3115,71503
3116,314
3117,13172
3118,34808
3119,27911
3120,17240
3121,19444
3122,15053
3123,19444
3124,20071
3125,14426
3126,12544
3127,20385
3128,13485
3129,6272
3130,8154
3131,69935
3132,39829
3133,52034
3134,38016
3135,29166
3136,7517
3137,27921
3138,56136
3139,44862
3140,9722
3141,10976
3142,8154
3143,18817
3144,11917
3145,5331
3146,3136
3147,5927
3148,9252
3149,6611
3150,549
3151,14113
3152,15681
3153,8154
3154,16621
3155,18817
3156,6899
3157,1019
3158,4704
3159,27284
3160,7370
3161,14000
3162,25089
3163,17562
3164,11917
3165,188
3166,18817
3167,23521
3168,18826
3169,59834
3170,44878
3171,188
3172,314
3173,7495
3174,15100
3175,13799
3176,7213
3177,6743
3178,15681
3179,29793
3180,31988
3181,470
3182,20385
3183,19130
3184,7213
3185,22545
3186,549
3187,17249
3188,14831
3189,14113
3190,20000
3191,15367
3192,9722
3193,15458
3194,125500
3195,7840
3196,32274
3197,106627
3198,1333
3199,8467
3200,40142
3201,4200
3202,23521
3203,6899
3204,314
3205,6272
3206,8781
3207,35269
3208,16621
3209,12544
3210,9408
3211,392
3212,5802
3213,11604
3214,9408
3215,9408
3216,43278
3217,20592
3218,27284
3219,10406
3220,4861
3221,12231
3222,11992
3223,17942
3224,6743
3225,20500
3226,31358
3227,15053
3228,25387
3229,8467
3230,40
3231,50037
3232,38445
3233,7213
3234,549
3235,32929
3236,11290
3237,41811
3238,314
3239,188
3240,14740
3241,2300
3242,23129
3243,8467
3244,20789
3245,12074
3246,23204
3247,941
3248,29793
3249,19130
3250,7997
3251,21326
3252,42544
3253,12544
3254,18033
3255,20071
3256,2509
3257,12676
3258,220
3259,13172
3260,42538
3261,10976
3262,7213
3263,22549
3264,32929
3265,16308
3266,1568
3267,57607
3268,51689
3269,8075
3270,22894
3271,14583
3272,3136
3273,1568
3274,10663
3275,17249
3276,20385
3277,14740
3278,15681
3279,784
3280,16621
3281,116036
3282,784
3283,13328
3284,7527
3285,4861
3286,13900
3287,4077
3288,1960
3289,43905
3290,12544
3291,18211
3292,10349
3293,19974
3294,65
3295,14583
3296,8781
3297,9092
3298,5018
3299,11604
3300,2195
3301,23521
3302,29793
3303,8154
3304,17249
3305,862
3306,72130
3307,24462
3308,784
3309,11604
3310,2430
3311,22273
3312,862
3313,7840
3314,36968
3315,6743
3316,90
3317,13764
3318,7527
3319,18346
3320,2600
3321,14897
3322,27065
3323,17249
3324,6272
3325,15530
3326,7840
3327,14426
3328,7997
3329,7527
3330,42717
3331,470
3332,16308
3333,12880
3334,8467
3335,11604
3336,314
3337,34497
3338,12858
3339,15681
3340,21326
3341,153669
3342,1803
3343,314
3344,10036
3345,11290
3346,18189
3347,6899
3348,6586
3349,4077
3350,37633
3351,29777
3352,20385
3353,14113
3354,5331
3355,18826
3356,7840
3357,17249
3358,18660
3359,8781
3360,15053
3361,17562
3362,47982
3363,11917
3364,4391
3365,549
3366,43592
3367,98787
3368,17249
3369,14583
3370,23834
3371,16590
3372,80000
3373,23521
3374,14426
3375,627
3376,31361
3377,25456
3378,9408
3379,19707
3380,4234
3381,314
3382,40045
3383,13485
3384,9408
3385,2979
3386,8154
3387,31772
3388,26108
3389,5488
3390,23207
3391,17719
3392,26657
3393,8800
3394,18189
3395,2509
3396,16935
3397,11290
3398,16621
3399,3763
3400,16894
3401,12231
3402,18817
3403,15053
3404,22580
3405,62722
3406,8467
3407,18817
3408,3763
3409,14897
3410,7213
3411,13297
3412,21326
3413,627
3414,6899
3415,18660
3416,3800
3417,18503
3418,14740
3419,3763
3420,39829
3421,14113
3422,7997
3423,7213
3424,25716
3425,25716
3426,784
3427,19444
3428,314
3429,941
3430,14113
3431,9722
3432,19601
3433,7527
3434,8467
3435,314
3436,40
3437,27174
3438,37580
3439,21639
3440,10349
3441,314
3442,25591
3443,11851
3444,35344
3445,18814
3446,14113
3447,706
3448,18817
3449,2587
3450,10506
3451,12950
3452,1646
3453,5331
3454,15367
3455,549
3456,16000
3457,8154
3458,6269
3459,10349
3460,9722
3461,15367
3462,1019
3463,10976
3464,29793
3465,28225
3466,50805
3467,31047
3468,4704
3469,10036
3470,37633
3471,3450
3472,32302
3473,21953
3474,21953
3475,862
3476,17942
3477,157
3478,34980
3479,10036
3480,200
3481,627
3482,10976
3483,7840
3484,18189
3485,9722
3486,4861
3487,1568
3488,3450
3489,43592
3490,30
3491,60897
3492,54568
3493,17562
3494,18817
3495,29793
3496,10976
3497,26500
3498,314
3499,9408
3500,10976
3501,20266
3502,44134
3503,25729
3504,72758
3505,17249
3506,15053
3507,8781
3508,40471
3509,12083
3510,549
3511,25591
3512,10976
3513,19444
3514,7527
3515,348
3516,41387
3517,9565
3518,6743
3519,17249
3520,30420
3521,28539
3522,470
3523,23687
3524,11604
3525,20385
3526,21103
3527,9000
3528,19800
3529,251
3530,2822
3531,12231
3532,38260
3533,21953
3534,31361
3535,9095
3536,7840
3537,314
3538,4704
3539,47217
3540,26306
3541,12231
3542,35438
3543,784
3544,34108
3545,35617
3546,150
3547,5865
3548,22502
3549,22580
3550,17876
3551,15000
3552,45160
3553,24148
3554,8963
3555,31361
3556,15900
3557,6115
3558,29793
3559,1882
3560,470
3561,7056
3562,100
3563,7700
3564,57108
3565,8467
3566,30734
3567,7213
3568,21639
3569,5802
3570,68994
3571,18189
3572,30326
3573,35846
3574,9408
3575,18817
3576,14426
3577,17249
3578,11290
3579,5018
3580,21326
3581,784
3582,19444
3583,21950
3584,4547
3585,42880
3586,23834
3587,86243
3588,470
3589,941
3590,6429
3591,12100
3592,1176
3593,4500
3594,16935
3595,78403
3596,16264
3597,25089
3598,16935
3599,22266
3600,16621
3601,15257
3602,12287
3603,1568
3604,23207
3605,627
3606,32311
3607,100355
3608,26030
3609,17923
3610,23408
3611,5500
3612,65015
3613,314
3614,8800
3615,13799
3616,12858
3617,17562
3618,15994
3619,15053
3620,6429
3621,35800
3622,13799
3623,18503
3624,8311
3625,18033
3626,470
3627,21395
3628,862
3629,5200
3630,22894
3631,2666
3632,9000
3633,4500
3634,38894
3635,15681
3636,16500
3637,17876
3638,12544
3639,282
3640,32578
3641,37633
3642,627
3643,132971
3644,19384
3645,1568
3646,204
3647,15200
3648,26971
3649,34572
3650,15577
3651,549
3652,29793
3653,27284
3654,13000
3655,2509
3656,20385
3657,13485
3658,26657
3659,13172
3660,30734
3661,23521
3662,9722
3663,7997
3664,4704
3665,2300
3666,22580
3667,18503
3668,7840
3669,39201
3670,20385
3671,1019
3672,1900
3673,11133
3674,25089
3675,941
3676,10976
3677,26262
3678,2500
3679,31524
3680,862
3681,17663
3682,15994
3683,65040
3684,15718
3685,6429
3686,18660
3687,14113
3688,3600
3689,5645
3690,392
3691,4861
3692,29586
3693,20005
3694,18503
3695,45
3696,18817
3697,125
3698,6272
3699,188
3700,19444
3701,10036
3702,20814
3703,15681
3704,16308
3705,31581
3706,7527
3707,470
3708,251
3709,39797
3710,25591
3711,136420
3712,10976
3713,16151
3714,24148
3715,54568
3716,26491
3717,42218
3718,26814
3719,16935
3720,18531
3721,25089
3722,4861
3723,6586
3724,11604
3725,12544
3726,350
3727,26030
3728,706
3729,16308
3730,314
3731,7527
3732,8154
3733,1882
3734,19757
3735,14269
3736,20385
3737,314
3738,706
3739,17249
3740,10036
3741,25716
3742,5175
3743,80
3744,11400
3745,1098
3746,40092
3747,13172
3748,7056
3749,8781
3750,14113
3751,3763
3752,13642
3753,47537
3754,24775
3755,19601
3756,27598
3757,26030
3758,157
3759,25089
3760,157
3761,20500
3762,27654
3763,27425
3764,13799
3765,33556
3766,157
3767,22580
3768,22473
3769,12858
3770,4861
3771,9722
3772,2666
3773,8881
3774,14269
3775,39559
3776,1803
3777,7840
3778,14113
3779,220
3780,40390
3781,16308
3782,18503
3783,8938
3784,19613
3785,11290
3786,6272
3787,16891
3788,11290
3789,9408
3790,45210
3791,17562
3792,706
3793,706
3794,9408
3795,8154
3796,6595
3797,21953
3798,35403
3799,17562
3800,10976
3801,11917
3802,188
3803,220
3804,4704
3805,2500
3806,13956
3807,12544
3808,470
3809,31047
3810,38063
3811,78
3812,75793
3813,12432
3814,2352
3815,31361
3816,35124
3817,8781
3818,6586
3819,15681
3820,8006
3821,12074
3822,71503
3823,42337
3824,42965
3825,10349
3826,43905
3827,53282
3828,470
3829,45734
3830,12544
3831,5645
3832,13739
3833,627
3834,16766
3835,27065
3836,19130
3837,14166
3838,4077
3839,45473
3840,6586
3841,8781
3842,13589
3843,12544
3844,13564
3845,10663
3846,44843
3847,13485
3848,14897
3849,9408
3850,15950
3851,9408
3852,549
3853,58018
3854,48108
3855,19757
3856,100
3857,8467
3858,314
3859,17249
3860,23521
3861,14113
3862,10820
3863,1960
3864,1019
3865,392
3866,13485
3867,19914
3868,16308
3869,45342
3870,392
3871,392
3872,36065
3873,12544
3874,627
3875,941
3876,2000
3877,2274
3878,10036
3879,220
3880,14115
3881,18817
3882,22947
3883,8467
3884,17249
3885,9408
3886,34845
3887,13799
3888,15245
3889,549
3890,20698
3891,43394
3892,76835
3893,7683
3894,12544
3895,784
3896,9252
3897,18817
3898,27654
3899,50
3900,4500
3901,43360
3902,5645
3903,15681
3904,11604
3905,22580
3906,16621
3907,18817
3908,30
3909,470
3910,14113
3911,117604
3912,9000
3913,4391
3914,18817
3915,6899
3916,30734
3917,10349
3918,21326
3919,2822
3920,19130
3921,15053
3922,17562
3923,16621
3924,43576
3925,470
3926,188
3927,15681
3928,17249
3929,23521
3930,40769
3931,114468
3932,39201
3933,52959
3934,1882
3935,44846
3936,2666
3937,14269
3938,38445
3939,314
3940,13799
3941,15367
3942,27598
3943,13172
3944,21442
3945,130
3946,3293
3947,549
3948,1803
3949,19444
3950,4704
3951,25089
3952,25089
3953,13485
3954,14113
3955,47042
3956,23521
3957,13485
3958,282
3959,6583
3960,28921
3961,43905
3962,1019
3963,16621
3964,94083
3965,18817
3966,26971
3967,6743
3968,16935
3969,19121
3970,9408
3971,6429
3972,12858
3973,8500
3974,10036
3975,39201
3976,24148
3977,157
3978,12880
3979,19444
3980,10976
3981,11917
3982,47512
3983,14113
3984,56450
3985,13485
3986,42337
3987,3000
3988,19657
3989,21326
3990,14113
3991,13015
3992,3763
3993,1725
3994,12849
3995,53031
3996,15994
3997,6586
3998,10349
3999,4391
4000,109764
4001,17249
4002,11604
4003,49550
4004,18189
4005,4800
4006,7527
4007,17000
4008,13172
4009,5488
4010,25089
4011,23521
4012,1646
4013,627
4014,23207
4015,3607
4016,17562
4017,20491
4018,22894
4019,188
4020,5645
4021,12231
4022,5959
4023,1490
4024,9164
4025,26030
4026,45160
4027,21953
4028,10036
4029,16935
4030,1176
4031,14113
4032,7213
4033,23521
4034,24462
4035,2500
4036,38975
4037,10349
4038,16621
4039,10036
4040,5500
4041,33243
4042,2744
4043,15681
4044,17562
4045,2195
4046,2700
4047,47038
4048,44843
4049,4077
4050,6241
4051,16778
4052,35269
4053,43592
4054,7840
4055,254024
4056,12388
4057,48610
4058,11992
4059,23521
4060,14113
4061,4077
4062,1882
4063,73071
4064,39201
4065,6586
4066,13172
4067,282
4068,549
4069,392
4070,46728
4071,19757
4072,314
4073,6899
4074,10976
4075,12544
4076,11604
4077,5645
4078,4000
4079,5500
4080,11848
4081,1411
4082,8624
4083,40
4084,1333
4085,11604
4086,15063
4087,61521
4088,12544
4089,14586
4090,24148
4091,392
4092,9722
4093,7213
4094,1098
4095,3763
4096,31581
4097,39750
4098,9722
4099,20385
4100,10036
4101,61154
4102,23834
4103,6899
4104,43000
4105,13178
4106,50
4107,35567
4108,314
4109,62722
4110,54568
4111,8467
4112,188
4113,19757
4114,42692
4115,941
4116,21012
4117,25889
4118,2300
4119,53154
4120,9252
4121,10036
4122,13799
4123,314
4124,12000
4125,43905
4126,10036
4127,1568
4128,18189
4129,59006
4130,10976
4131,18817
4132,55230
4133,11133
4134,36197
4135,5000
4136,282
4137,157
4138,14426
4139,9700
4140,14113
4141,39201
4142,3293
4143,8467
4144,5018
4145,29793
4146,37006
4147,9722
4148,17249
4149,25139
4150,4265
4151,37799
4152,392
4153,20385
4154,314
4155,20855
4156,15681
4157,6272
4158,11917
4159,21953
4160,11133
4161,60
4162,7527
4163,29793
4164,26657
4165,13877
4166,10036
4167,862
4168,47042
4169,220
4170,27284
4171,21326
4172,14113
4173,3763
4174,13000
4175,9408
4176,16750
4177,470
4178,11917
4179,14426
4180,15521
4181,11917
4182,33086
4183,4077
4184,20385
4185,549
4186,16308
4187,17249
4188,12858
4189,52059
4190,7850
4191,64290
4192,13172
4193,14740
4194,392
4195,6272
4196,12231
4197,16308
4198,29094
4199,1725
4200,29793
4201,7213
4202,5331
4203,10976
4204,9408
4205,2195
4206,706
4207,7840
4208,13172
4209,157
4210,20385
4211,4077
4212,251
4213,13500
4214,1350
4215,28852
4216,17562
4217,16894
4218,862
4219,9722
4220,15681
4221,17876
4222,9252
4223,7840
4224,23521
4225,35309
4226,37633
4227,16621
4228,13956
4229,12544
4230,5959
4231,6429
4232,13485
4233,27441
4234,11604
4235,4861
4236,1882
4237,50
4238,24462
4239,21900
4240,8781
4241,1646
4242,15530
4243,52106
4244,20385
4245,39201
4246,9095
4247,3920
4248,34811
4249,15681
4250,45633
4251,6000
4252,9408
4253,18817
4254,24462
4255,12388
4256,61471
4257,17249
4258,4077
4259,5739
4260,15367
4261,17500
4262,12256
4263,44247
4264,2666
4265,28222
4266,23521
4267,2901
4268,6586
4269,25
4270,14269
4271,43576
4272,21012
4273,12544
4274,5000
4275,1490
4276,40456
4277,64290
4278,13000
4279,35124
4280,80651
4281,11604
4282,57428
4283,24000
4284,54568
4285,17876
4286,16286
4287,21012
4288,25716
4289,3450
4290,19757
4291,6743
4292,8467
4293,17346
4294,5500
4295,15053
4296,19130
4297,18503
4298,12544
4299,392
4300,31361
4301,1254
4302,40901
4303,44843
4304,15991
4305,400
4306,56509
4307,3136
4308,549
4309,21326
4310,8154
4311,1000
4312,7527
4313,627
4314,19930
4315,8781
4316,1568
4317,21953
4318,7370
4319,1098
4320,30891
4321,15132
4322,12544
4323,12544
4324,1098
4325,10976
4326,22649
4327,26657
4328,4077
4329,34635
4330,251
4331,19416
4332,46414
4333,19444
4334,7527
4335,8781
4336,13172
4337,31361
4338,32311
4339,42024
4340,392
4341,2901
4342,12544
4343,3058
4344,7840
4345,470
4346,44247
4347,1490
4348,25089
4349,25744
4350,20385
4351,19121
4352,8500
4353,47669
4354,56121
4355,15681
4356,10349
4357,30
4358,29504
4359,42651
4360,21639
4361,11604
4362,3920
4363,12231
4364,784
4365,1960
4366,16151
4367,33243
4368,10000
4369,47042
4370,7840
4371,9408
4372,6899
4373,8781
4374,22580
4375,18826
4376,23994
4377,15681
4378,18503
4379,10036
4380,7683
4381,549
4382,1803
4383,2822
4384,42965
4385,11760
4386,5645
4387,5959
4388,3136
4389,51517
4390,12231
4391,10976
4392,13877
4393,282
4394,36065
4395,2038
4396,28539
4397,50
4398,314
4399,1646
4400,44846
4401,14740
4402,26657
4403,8781
4404,12544
4405,8938
4406,28225
4407,22580
4408,48610
4409,5331
4410,9252
4411,3763
4412,15053
4413,1019
4414,3763
4415,18817
4416,5488
4417,9722
4418,26657
4419,13877
4420,78403
4421,3450
4422,30
4423,36711
4424,19071
4425,18531
4426,16308
4427,40142
4428,40769
4429,5645
4430,13485
4431,8781
4432,38157
4433,862
4434,10663
4435,13172
4436,15994
4437,54458
4438,19757
4439,941
4440,706
4441,1333
4442,12544
4443,125
4444,627
4445,14113
4446,29479
4447,7840
4448,16778
4449,36997
4450,5000
4451,35617
4452,3136
4453,28225
4454,3920
4455,18817
4456,3293
4457,22000
4458,784
4459,26657
4460,11274
4461,282
4462,18817
4463,10349
4464,18817
4465,11917
4466,7370
4467,54882
4468,18000
4469,549
4470,706
4471,10349
4472,3450
4473,13485
4474,28328
4475,784
4476,33908
4477,17158
4478,19416
4479,1098
4480,49751
4481,12000
4482,20005
4483,5175
4484,17249
4485,4234
4486,27598
4487,22266
4488,3920
4489,11604
4490,11917
4491,1568
4492,13172
4493,15681
4494,5645
4495,9095
4496,11666
4497,1882
4498,21326
4499,46728
4500,38574
4501,9722
4502,862
4503,8781
4504,19444
4505,62722
4506,13172
4507,20385
4508,8781
4509,25402
4510,103491
4511,29094
4512,15681
4513,17876
4514,18189
4515,32393
4516,25744
4517,36065
4518,2744
4519,9408
4520,21326
4521,7840
4522,34500
4523,6586
4524,9095
4525,29489
4526,94
4527,11917
4528,4704
4529,20228
4530,40769
4531,30734
4532,24462
4533,23772
4534,549
4535,4704
4536,15681
4537,17562
4538,6895
4539,13877
4540,34497
4541,14113
4542,24148
4543,32929
4544,34811
4545,5175
4546,18189
4547,188
4548,941
4549,7213
4550,3293
4551,3800
4552,47
4553,20071
4554,33500
4555,23834
4556,7840
4557,65024
4558,4500
4559,21639
4560,10036
4561,19757
4562,17249
4563,2587
4564,26030
4565,53941
4566,3920
4567,23207
4568,13423
4569,1568
4570,13172
4571,42692
4572,11133
4573,3293
4574,18817
4575,10976
4576,24462
4577,4700
4578,30734
4579,21953
4580,7840
4581,42337
4582,80
4583,12544
4584,16935
4585,21012
4586,45436
4587,43655
4588,28000
4589,11760
4590,50030
4591,59504
4592,11133
4593,13172
4594,1333
4595,90
4596,31047
4597,1019
4598,3607
4599,314
4600,18817
4601,11604
4602,29793
4603,1882
4604,10663
4605,12544
4606,18900
4607,52856
4608,10036
4609,41193
4610,470
4611,8467
4612,862
4613,14740
4614,31361
4615,10976
4616,10349
4617,392
4618,8311
4619,13485
4620,470
4621,56450
4622,22894
4623,10349
4624,25000
4625,22580
4626,13485
4627,9722
4628,22580
4629,314
4630,6586
4631,1960
4632,14740
4633,4234
4634,12544
4635,21395
4636,9722
4637,19757
4638,7370
4639,43278
4640,9565
4641,9565
4642,7997
4643,16935
4644,17249
4645,19306
4646,30931
4647,10663
4648,25889
4649,28482
4650,26971
4651,18189
4652,19444
4653,1725
4654,32929
4655,22580
4656,627
4657,4077
4658,1803
4659,9722
4660,10663
4661,2901
4662,17876
4663,157
4664,14113
4665,862
4666,34184
4667,2038
4668,5018
4669,6272
4670,23207
4671,10349
4672,3293
4673,627
4674,12544
4675,17000
4676,22894
4677,9408
4678,60840
4679,13000
4680,6586
4681,47694
4682,4861
4683,10349
4684,10036
4685,10349
4686,29075
4687,9722
4688,9095
4689,3763
4690,52696
4691,13764
4692,7527
4693,24775
4694,8386
4695,2274
4696,13600
4697,282
4698,12544
4699,19121
4700,29793
4701,5802
4702,706
4703,12544
4704,19444
4705,13172
4706,19287
4707,57990
4708,24462
4709,19444
4710,51746
4711,25264
4712,8000
4713,16308
4714,6899
4715,14740
4716,32245
4717,24462
4718,52991
4719,43278
4720,3450
4721,25299
4722,7213
4723,470
4724,706
4725,21953
4726,7213
4727,32578
4728,8154
4729,10036
4730,9408
4731,17876
4732,29793
4733,1568
4734,24462
4735,44752
4736,392
4737,18817
4738,37633
4739,5175
4740,16778
4741,31988
4742,784
4743,5802
4744,16004
4745,48296
4746,6899
4747,14740
4748,30
4749,10036
4750,784
4751,4861
4752,27000
4753,33707
4754,549
4755,11917
4756,34497
4757,13172
4758,6272
4759,31449
4760,111002
4761,24123
4762,23935
4763,2500
4764,13485
4765,2000
4766,549
4767,43905
4768,1646
4769,36539
4770,50560
4771,41917
4772,16480
4773,42557
4774,392
4775,5175
4776,24462
4777,8154
4778,39201
4779,15994
4780,22894
4781,17405
4782,13485
4783,220
4784,4861
4785,21000
4786,11290
4787,26644
4788,37000
4789,16123
4790,4077
4791,19130
4792,20698
4793,1176
4794,12544
4795,24148
4796,314
4797,8154
4798,55638
4799,14113
4800,28438
4801,9408
4802,18817
4803,2500
4804,13172
4805,45633
4806,131716
4807,7213
4808,49165
4809,862
4810,17876
4811,13771
4812,30085
4813,20266
4814,11604
4815,13485
4816,23207
4817,4861
4818,38060
4819,21326
4820,4547
4821,8500
4822,35
4823,10349
4824,17562
4825,4077
4826,627
4827,12544
4828,4500
4829,11133
4830,470
4831,1500
4832,7213
4833,1019
4834,64002
4835,3920
4836,16333
4837,39201
4838,1646
4839,136000
4840,14426
4841,5645
4842,18817
4843,25089
4844,1254
4845,53872
4846,58018
4847,5018
4848,8624
4849,35071
4850,10349
4851,14269
4852,627
4853,14113
4854,9095
4855,14426
4856,188
4857,2600
4858,6272
4859,15367
4860,784
4861,7840
4862,15053
4863,7527
4864,25889
4865,41710
4866,549
4867,23207
4868,6896
4869,9095
4870,19287
4871,1176
4872,23521
4873,29793
4874,4547
4875,15367
4876,5331
4877,55932
4878,16621
4879,19613
4880,40142
4881,627
4882,12544
4883,4547
4884,31047
4885,7997
4886,7213
4887,12544
4888,12544
4889,392
4890,8467
4891,8467
4892,15681
4893,15681
4894,27582
4895,8000
4896,8500
4897,8938
4898,50178
4899,13799
4900,627
4901,53154
4902,29166
4903,48955
4904,100
4905,2700
4906,12541
4907,10036
4908,12858
4909,7840
4910,73071
4911,12544
4912,39829
4913,23521
4914,3763
4915,20698
4916,19444
4917,5488
4918,9722
4919,5331
4920,19757
4921,19757
4922,14426
4923,7213
4924,15681
4925,862
4926,26657
4927,10986
4928,16621
4929,2200
4930,5175
4931,16935
4932,32302
4933,32929
